id,longitude,latitude,1,2,3,4,5,6,7,8,9,10,11,12,13
1,48.20476966020685,134.73358154296878,6416,6659,8871,9101,9193,6756,9050,9115,8898,8095,5442,6466,5544
2,48.20614252854658,134.7455978393555,6022,6690,8866,9083,9162,7974,9011,8101,8829,8001,5380,6559,5282
3,48.205684909855385,134.75830078125003,5911,6337,8901,9036,9069,7902,8676,8842,8588,7698,6069,5245,6277
4,48.20476966020685,134.77203369140628,5612,6302,8651,9059,9124,8115,9018,9062,8540,7687,6270,5995,5226
5,48.204998474152255,134.78336334228518,5628,6021,8775,9142,9156,7759,9245,9003,8890,7638,5934,5864,5192
6,48.20522728707548,134.795036315918,5535,5751,8660,9095,9160,9138,9135,8979,8558,7437,5629,5718,3315
7,48.205684909855385,134.80842590332034,5263,5777,8641,9066,9187,9121,8981,9040,8737,7241,5785,5670,5327
8,48.205684909855385,134.8225021362305,5353,6035,8530,9048,9207,9123,9149,9000,8837,7535,6028,6524,6571
9,48.20522728707548,134.8341751098633,4632,6032,8549,9034,9160,9011,9126,8984,8812,7383,6182,6174,5389
10,48.20476966020685,134.84619140625003,5765,5780,8025,9045,9145,8993,9131,8983,8846,7361,6078,6617,4704
11,48.20476966020685,134.8561477661133,6167,5982,8695,9131,9172,8982,8518,8984,8893,7470,6305,6767,4704
12,48.204540845239244,134.86988067626956,6052,5889,8693,9163,9184,8920,8690,8958,8888,7528,6087,6978,7235
13,48.204540845239244,134.882926940918,5872,5667,8638,9125,9177,8899,5874,8966,8883,7424,5853,6797,4678
14,48.20476966020685,134.89528656005862,5839,5638,8154,9102,9158,8476,8967,8973,8889,7573,5974,6582,5729
15,48.20522728707548,134.90695953369143,5745,5892,8283,9129,9168,8080,9038,8934,8832,7636,6073,6699,5890
16,48.20522728707548,134.91828918457034,5822,5525,8246,9087,9090,4360,9062,8987,8803,7699,6144,6935,5827
17,48.20476966020685,134.93167877197268,5160,5554,7942,9037,9035,2665,8645,8925,8674,7313,5940,6755,5197
18,48.20431202924948,134.94163513183597,4984,5473,8394,8968,8967,7899,8683,8842,8448,6805,5961,5662,5826
19,48.20339675506846,134.9543380737305,5179,5539,8600,8947,9074,7899,8454,8902,8482,6930,5928,5924,6405
20,48.20339675506846,134.96704101562503,5342,5500,8705,9034,9073,7154,7141,8814,8688,7361,5775,6202,6480
21,48.203167933967755,134.97974395751956,5157,5669,8820,9112,9171,9189,8300,8762,8807,7374,5755,6336,6245
22,48.20385439420334,134.99382019042972,5087,5125,8778,9203,9244,8811,7965,8660,8877,7158,5426,5139,5774
23,48.204540845239244,135.00686645507815,5361,5321,8787,9093,9171,8454,7983,9087,8721,7343,5547,5671,5466
24,48.20431202924948,135.0199127197266,5588,5678,8899,9160,9220,7641,6694,9079,8860,7726,5778,6542,4058
25,48.20293911184484,135.07965087890628,3523,6661,8772,8710,8752,5410,8034,8354,8294,6960,4552,3369,4793
26,48.20339675506846,135.09441375732425,3598,4159,8907,9065,8977,9010,8704,8693,8160,7011,4653,3460,4665
27,48.20476966020685,135.10574340820315,3698,4244,8909,9055,8958,8940,8704,8578,8012,6974,4707,3716,4533
28,48.204540845239244,135.1194763183594,3947,4401,8855,9012,9009,8729,8704,8632,8155,7046,4711,3862,4414
29,48.20385439420334,135.13252258300784,3895,4407,8799,9024,8884,8857,8530,8633,8064,7056,4771,3616,4118
30,48.20408321223749,135.14316558837893,3839,4272,8818,9053,8904,9301,9077,8768,8552,7387,4801,3980,4281
31,48.20385439420334,135.1572418212891,3508,4134,8872,9233,9080,9202,9091,8871,8512,7193,4686,4021,4387
32,48.20385439420334,135.17063140869143,3863,3985,8968,9079,9057,9052,9099,8733,8255,6979,4601,3936,4269
33,48.20408321223749,135.1799011230469,3913,4075,8900,9015,9049,8345,8974,8772,8347,6959,4700,3850,4156
34,48.206371336358906,135.1960372924805,3884,4000,8758,9040,9002,8905,9021,8657,8149,6970,4821,3914,4034
35,48.20476966020685,135.20805358886722,4003,4453,8669,8844,8870,8910,8845,8488,7944,6883,4607,3785,3890
36,48.20476966020685,135.22178649902347,3471,5977,8528,8774,8853,8417,8715,8407,7786,6513,4510,3672,3736
37,48.204998474152255,135.23105621337893,4282,3437,8320,8657,8798,8155,8741,8352,7683,6531,4380,3755,3712
38,48.20431202924948,135.24307250976565,3746,3449,7897,8416,8782,8939,8700,8339,7633,6280,4390,3758,3906
39,48.20408321223749,135.25543212890628,3781,3391,7841,8349,8781,8838,8820,8408,7656,6370,4398,3762,4096
40,48.203625575146994,135.26538848876956,3471,3305,7513,8309,8689,8846,8536,8262,7513,6187,4377,3792,4412
41,48.20271028869975,135.2780914306641,3405,3435,7959,8394,8876,8043,8733,8467,7989,6515,4404,3778,2198
42,48.20271028869975,135.2897644042969,3755,3617,8070,8414,8802,9094,8629,8378,7919,6646,4556,3969,4165
43,48.203625575146994,135.30521392822268,3631,3659,8004,8147,8753,8542,8378,8370,7845,6375,4527,3971,4342
44,48.19584511902266,134.70817565917972,5371,6730,8959,9218,9277,8656,9217,9117,8967,8332,5797,5349,4908
45,48.19676052813453,134.69718933105472,5439,5054,8974,9162,9251,9356,9222,9038,8916,8300,5970,5486,5545
46,48.19607397283394,134.7239685058594,5579,7068,8948,9218,9280,8615,9199,8966,8968,8295,5580,5525,5272
47,48.19584511902266,134.7346115112305,5786,6988,8940,9172,9235,8005,9172,9300,8956,8236,5785,6027,5977
48,48.19515855145543,134.74216461181643,5168,6970,8966,9203,9270,5201,9062,9091,8949,8105,5048,5592,4856
49,48.19515855145543,134.7569274902344,5311,6267,8345,9172,9249,6383,9096,9123,8940,8000,5645,5806,5587
50,48.19515855145543,134.77134704589847,5272,6185,8951,9140,9253,8900,9113,9076,8984,8018,5288,5811,4324
51,48.194471974688206,134.78130340576175,5532,6162,8863,9169,9268,8900,9112,9107,8970,7961,5512,5742,4584
52,48.19630282562303,134.79743957519534,5147,6180,8815,9148,9238,9099,9154,9111,8919,7841,5599,5700,4256
53,48.196531677389885,134.8122024536133,5721,6091,8740,9111,9192,9113,9056,9106,8869,7758,5864,5665,4344
54,48.19607397283394,134.81975555419925,6086,5892,8633,9087,9210,9011,9058,8942,8843,7618,6168,6756,5013
55,48.194700834632826,134.83142852783206,5360,5938,8569,9070,9202,9006,8987,9133,8826,7378,6089,6105,4704
56,48.194700834632826,134.8448181152344,5816,5980,8663,9092,9158,8995,8965,8985,8787,7319,6085,5993,5040
57,48.19515855145543,134.85717773437503,6044,5983,8715,9106,9176,8915,8312,8966,8743,7378,6230,6729,5252
58,48.19607397283394,134.87022399902347,6167,5937,8746,9117,9180,8831,9066,8966,8850,7599,6258,6740,5181
59,48.19401425173225,134.88155364990237,6214,6114,8791,9177,9192,8735,9097,8937,8895,7711,6343,7133,5340
60,48.19538740833338,134.89528656005862,6000,6027,8789,9150,9177,8376,9126,8948,8843,7695,6243,6840,6119
61,48.19607397283394,134.90901947021487,5801,5948,8789,9139,9201,2502,9104,8894,8834,7667,6203,7130,6041
62,48.19515855145543,134.91966247558597,5735,5857,8684,9135,9170,9729,9033,9003,8830,7690,6010,7105,5695
63,48.19515855145543,134.93133544921878,5705,5704,8684,9001,9094,9729,8448,8945,8691,7219,5931,7083,5095
64,48.19584511902266,134.94644165039065,5529,5621,8617,8997,9062,6478,8181,8987,8720,7294,5965,6664,4901
65,48.19584511902266,134.95777130126956,5248,5603,8766,9162,9214,6467,8698,9012,8863,7645,5811,6541,6673
66,48.19584511902266,134.970817565918,5232,5584,8976,9231,9279,9140,7823,8786,8968,7986,5828,6633,4527
67,48.19584511902266,134.9879837036133,5177,5203,9045,9247,9333,9139,7705,9264,9106,7910,5556,6464,6332
68,48.19584511902266,134.99691009521487,5207,5111,9034,9220,9293,4471,6724,9224,8748,7893,5491,6257,5493
69,48.19401425173225,135.01613616943362,5449,5608,9001,9009,9222,8141,8329,9137,8918,8088,5779,6320,5872
70,48.19515855145543,135.03227233886722,5135,5793,9026,9022,9175,8519,9372,9013,8829,8259,5483,6136,5302
71,48.19538740833338,135.04497528076175,4800,5422,9110,9004,9222,7631,9266,9027,8699,8089,5509,4367,5365
72,48.19515855145543,135.0583648681641,4626,4236,9055,8984,9141,8284,9057,9023,8739,7725,5064,4167,5299
73,48.194929693555245,135.06900787353518,4232,4664,9007,9199,9111,8763,8295,8918,8717,7375,4987,4091,5399
74,48.19332765963163,135.0803375244141,3732,4041,8942,9145,9049,9043,9017,8754,8297,7199,4827,3464,4523
75,48.19538740833338,135.09578704833987,3613,4003,8778,8952,8903,9345,8620,8592,8175,7104,4703,3503,4226
76,48.19584511902266,135.1084899902344,3618,4397,8929,9221,8967,9384,8620,8846,8300,7355,4658,3738,4437
77,48.19515855145543,135.11810302734378,3708,4239,9196,9334,9199,9515,8435,9014,8667,7752,4617,3705,4443
78,48.19584511902266,135.1352691650391,4046,4135,9023,9290,8971,9294,8551,8743,8177,7282,4593,3579,4137
79,48.195616264189134,135.14453887939456,3607,3911,8926,8910,8931,8974,8869,8342,7720,6642,4580,3582,4200
80,48.19538740833338,135.157585144043,3786,4389,8883,8989,8900,8777,8882,8538,7911,6639,4644,3859,4241
81,48.194929693555245,135.17063140869143,3886,7114,8752,8920,8897,9019,8956,8527,7910,6873,4735,3822,4144
82,48.194929693555245,135.18436431884768,4025,7360,8800,8906,8897,9092,8930,8624,8106,7053,4852,3847,4094
83,48.19515855145543,135.19294738769534,4026,4807,8671,8848,8816,8921,8832,8554,8063,6954,4881,3650,3655
84,48.19607397283394,135.2077102661133,3886,4631,8604,8733,8779,8300,8599,8515,8010,6847,4675,3716,3599
85,48.195616264189134,135.22109985351565,4395,4102,8196,8587,8781,7767,8634,8391,7768,6563,4463,3637,3769
86,48.19538740833338,135.23277282714847,4750,4338,7754,8264,8615,7987,8673,8233,7670,6393,4562,3856,3965
87,48.194929693555245,135.24375915527347,3985,3603,7436,7521,8562,7940,8638,8288,7722,6437,4725,3894,4726
88,48.194700834632826,135.25783538818362,4127,3492,7566,8161,8653,8492,8552,8087,7752,6343,4436,3821,4211
89,48.194471974688206,135.27122497558597,4048,3745,7834,8234,8708,8288,8708,8255,7754,6505,4627,3805,4715
90,48.194700834632826,135.28289794921878,4048,5434,8165,8447,8860,7533,8535,8494,7989,6797,4635,4186,4382
91,48.194243113721335,135.29388427734378,3841,3634,8485,8683,9025,8060,9048,8575,8290,6958,4510,4004,4350
92,48.19401425173225,135.30521392822268,3636,3691,8560,8727,9083,8557,8665,8601,8336,6956,4499,3962,3235
93,48.18760570101006,134.70268249511722,5067,7171,9139,9126,9191,9241,9150,9052,8809,8110,5967,4684,6214
94,48.18760570101006,134.71195220947268,5233,7208,9131,9185,9267,9216,9153,9071,8914,8336,6453,4723,5485
95,48.18783459162184,134.72534179687503,5326,7030,8934,9200,9268,9364,9133,9094,8957,8438,5993,5855,5828
96,48.18737680937599,134.73667144775393,5214,6859,9005,9217,9293,9389,9051,9128,8967,8337,5567,5428,5347
97,48.18669012834026,134.74800109863284,4851,6606,8390,9217,9317,8900,9080,9153,9017,8229,5336,4347,4629
98,48.18714791671967,134.76139068603518,4926,6471,9181,9204,9329,8871,9125,9133,9026,8257,5268,5142,3746
99,48.18691902304109,134.7727203369141,5459,7049,9121,9205,9329,9006,9133,9096,8989,8287,5511,5400,4743
100,48.18691902304109,134.78576660156253,5804,6967,8619,9172,9295,9102,9115,8995,8948,8201,6099,6020,4915
101,48.18669012834026,134.7957229614258,6140,6792,8850,9162,9234,9036,9024,9054,8931,8101,6197,6218,5925
102,48.18691902304109,134.8115158081055,6047,6568,8844,9124,9221,8976,9163,9026,8887,7993,6296,6433,5631
103,48.18577453931438,134.82387542724612,6386,6536,8741,9029,9168,8976,7798,8977,8745,7691,6272,6602,5649
104,48.18646123261718,134.83245849609378,5979,6157,8707,9068,9160,8954,8739,9013,8808,7537,6216,6455,5357
105,48.18737680937599,134.84928131103518,5934,6043,8733,9064,9156,8933,7312,9007,8781,7415,6081,6246,5065
106,48.188063481211415,134.86198425292972,6100,6036,8754,9057,9127,8834,8991,9008,8727,7381,6169,6530,5207
107,48.18783459162184,134.87468719482425,6251,6165,8735,9089,9126,8763,8813,8862,8737,8195,6250,6908,5423
108,48.18829236977871,134.8887634277344,6204,6552,8735,9062,9115,8701,8916,8919,8720,7661,6454,6897,5519
109,48.18829236977871,134.90146636962893,6112,5954,8712,9119,9160,8667,8950,9146,8737,7403,6146,6673,6269
110,48.18829236977871,134.91313934326175,5779,6014,8696,9071,9133,8650,9010,8946,8695,7492,6194,6800,6517
111,48.18783459162184,134.92309570312503,5847,5795,8696,9109,9151,4133,8980,9014,8800,7560,5827,6973,5365
112,48.18714791671967,134.9375152587891,5747,5707,8866,9155,9210,5873,9020,9042,8864,7719,5914,6404,5580
113,48.18737680937599,134.948844909668,5484,5727,8989,9175,9235,6702,8873,9076,8905,7874,5854,6710,6966
114,48.18760570101006,134.96120452880862,5488,5767,9009,9206,9241,8957,7750,9098,8978,8009,5952,6778,5437
115,48.18737680937599,134.97322082519534,5391,5686,9015,9212,9262,8665,9436,9147,8990,8006,5943,6634,6102
116,48.18783459162184,134.9872970581055,5234,5239,9052,9289,9316,9718,9415,9243,9141,7998,5722,6244,5531
